page_name,page_url,likes,link_url,whatsapp_number,duration_days,publisher_platforms,delivery_start,delivery_stop,ad_body,ad_image,score,reasons,flags,page_id,ad_id,collected_at
Roman Jewelers,https://www.facebook.com/RomanJewelers/,6545,https://www.romanjewelers.com/fine-jewelry/lagos,,60,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'WHATSAPP', 'THREADS']",2026-06-29T07:00:00,2026-08-28T07:00:00,"Lagos: the fine jewelry brand defined by bold design and flawless craftsmanship. Discover it at Roman Jewelers, where personalized service turns shopping into an experience.",https://scontent-yyz1-1.xx.fbcdn.net/v/t39.35426-6/733427949_1640025163755861_5456312673408967266_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LqrUbiayUt4Q7kNvwGpL26U&_nc_oc=AdqwE8Z1jkeVOoUEC-SlRNUWlD1B-DiKjie8CbLKlsIXrK2Qq-K9xjnDGylDlXfPMeY&_nc_zt=14&_nc_ht=scontent-yyz1-1.xx&_nc_gid=ZMyQfOQE8prKcL0fh1Jw7w&_nc_ss=79289&oh=00_AQEV2HCbN_uqqDYpxesbD8IzIiB58LNoLzk3EsZKxEub4Q&oe=6A977A3D,56,"website-landing-page, active-60d, ng-cues:lagos,lag, category:jewelry, small-mid-6545",,112425734105,27057696623926393,2026-08-28T13:45:38.584915+00:00
Ali Pearl Hair,https://www.instagram.com/_u/_.zahra.andrews._,0,https://www.alipearlhair.com/glueless-invisi-drawing-360-lace-wig-miss-buns-with-side-part-bangs-style.html,,22,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-08-06T07:00:00,2026-08-28T07:00:00,"@alipearl_hair  I loveeee this 360 Glueless updo wig 😍🔥🔥🔥 shop link in my bio 🛍️

#alipearlhair #gluelesswigs #360lacewig #updohairstyles #alipearlwigs",,56,"website-landing-page, active-22d, category:wig,hair,lace, unknown-size, naira-pricing",,569994159860656,1369165091319397,2026-08-29T07:53:06.258180+00:00
"Style Encore - Fayetteville, AR",https://www.facebook.com/styleencorefayettevillear/,1806,https://style-encore.com/locations/fayetteville-ar,,25,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'WHATSAPP', 'THREADS']",2026-08-03T07:00:00,2026-08-28T07:00:00,"💸✨ Turn your designer pieces into cash & shop luxury brands for LESS!
We're looking for luxury handbags, jewelry, and men's styles—and paying cash on the spot. While you're here, shop trending brands & everyday essentials to one-of-a-kind finds, we're stocked with fresh, like-new styles arriving every day.

Our most wanted styles include items from brands like:
👜 GUCCI, LOUIS VUITTON & PRADA
💎 DAVID YURMAN, TIFFANY & LAGOS

We buy all brands every day, and we also love styles from brands like COACH, KATE SPADE, BRAHMIN, & more.",,56,"website-landing-page, active-25d, ng-cues:lagos,lag, category:handbag,jewelry,bag, small-mid-1806",,695428256995320,4371022366492948,2026-08-28T13:45:47.387181+00:00
Omgherhair.com,https://www.facebook.com/omgherhair/,5237,https://www.omgherhair.com/sun-kissed-brown-highlights-burmese-curly-invisible-drawstring-fitted-glueless-360-hd-lace-wig-hlw24.html,,23,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-01-22T08:00:00,2026-02-14T08:00:00,"A 360 wig with Lagos Hailine that look this realistic? 🤩If you didn’t know, now you know!",,56,"website-landing-page, active-23d, ng-cues:lagos,lag, category:wig,hair,hat, small-mid-5237",,512589825615427,888357763577240,2026-08-29T08:06:04.022257+00:00
The Library Lagos,https://www.facebook.com/librarylagos/,2097,https://thelibrarylagos.com/,,17,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'THREADS']",2025-11-10T08:00:00,2025-11-27T08:00:00,"Throwback to when @ciara stepped into The Library.

A night that became part of our story and one for the books. 🎶",,56,"website-landing-page, active-17d, ng-cues:lagos,lag, category:hat, small-mid-2097",,115723731541864,1524154738784619,2026-08-29T08:30:43.483599+00:00
Jones Hubert Zaria,https://www.facebook.com/61589278720886/,45,https://oiuliye.com/collections/men-sale-4u?utm_source=facebook&utm_medium=cpc&utm_campaign=%7B%7Bcampaign.id%7D%7D&utm_content=%7B%7Badset.id%7D%7D&utm_term=%7B%7Bzy%7D%7D,,22,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-05-26T07:00:00,2026-06-17T07:00:00,"Look like a million bucks, effortlessly. 🌴✨ Get that high-end weekend aesthetic with buttery-soft materials and iconic patterns. Look sharp from head to toe. 😎👟",https://scontent-mxp2-1.xx.fbcdn.net/v/t39.35426-6/706123192_1669768814157177_2714701822588857075_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=K74jKLuT1TgQ7kNvwGea-PA&_nc_oc=AdoqRD4m36jQIGp_7cAhEkW2t6qDBHy0EBUL-IkkKvZunkG0RqTZPov8OkMPfSr_53A&_nc_zt=14&_nc_ht=scontent-mxp2-1.xx&_nc_gid=cg9Ba547uOHcA6jtKl8rig&_nc_ss=79289&oh=00_AQIb83x1yk0Jsm7exuGIPT9GX1TnQZ32B37UnDwZu0ZyAA&oe=6A986A14,56,"website-landing-page, active-22d, ng-cues:zaria, category:hat, small-mid-45",,1049832288221587,1007442924959328,2026-08-29T10:11:07.882657+00:00
Eleven Six Knitwear,https://www.facebook.com/61553773696347/,966,https://eleven-six.co/,,41,"['FACEBOOK', 'INSTAGRAM', 'MESSENGER', 'THREADS']",2026-07-17T07:00:00,2026-08-27T07:00:00,"DRESSY TOPS + TANK…See our Co-Founder + Designer: Catherine’s styling 11 dressy tops and tanks—easy to pop-on-and-go with a white pant or your favorite jeans. Dress these pieces up or down…and yes, they’re sweaters disguised as tops! 🤍

Which is your favorite and why?

LOOKS in ORDER… 
1| MAIA TOP, Stripe top w/ruffle
2| LILIA TANK, Ivory
3| ZELDA CROCHET TOP, Limone (Also available in Ivory w/ black tipping)
4| ZARIA CROCHET TANK (Has a matching skirt to make it a knit-set!)
5| TESSA TOP, Ivory w/ ruffle
6| MALI CAMI, Ivory/rosso stripe (available in other stripe colors + solids)
7| AMIRA CROCHET TOP, Ivory/black dot pattern
8| IOLA CROCHET CAMI. Skye Blue (Also available in Ivory, Black)
9| CARIA STRIPE TOP, Ivory/Navy Stripe (Has a matching skirt to make it a knit-set!)
10| ELLIE CROCHE",,56,"website-landing-page, active-41d, ng-cues:zaria, category:dress,jean, small-mid-966",,184859241377204,1414143300633296,2026-08-29T10:11:11.119957+00:00
Gentst,https://www.facebook.com/61589099661703/,794,https://www.gentst.com/collections/tactical-lifestyle?spm=..collection_ef4f3e3c-3945-4d70-8522-b611dd506721.header_1.1&spm_prev=..collection_4ee86b2d-6d85-4180-b302-40661f5ef67e.header_1.1,,20,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-05-19T07:00:00,2026-06-08T07:00:00,"Step into the zone of elite tactical streetwear. Every detail screams control, strength, and attitude. Which one matches your edge today?
#BlackwaterStyle #TacticalWear #StreetEdge #UrbanWarrior #MensFashion",,56,"website-landing-page, active-20d, ng-cues:warri, category:fashion, small-mid-794",,1005117506028499,3522341304599168,2026-08-29T10:17:47.838313+00:00
VIVAIA,https://www.facebook.com/61557748517217/,252,https://www.vivaia.com/item/pointed-toe-ballet-flats-p_10012694.html?gid=10012702&utm_source=facebook&utm_medium=cpm&utm_content=leslie&utm_campaign={{campaign.id}}&utm_term={{ad.id}},,230,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER']",2025-03-21T07:00:00,2025-11-06T08:00:00,"¿Cuales son tus favoritos, los rojos o los negros y beige?

Which are your favorites, the red ones or the black and beige ones?

@vivaia_official 

#vivaia #vivaiashoes #viviacomfort #vivaiaonmyway 
#cintuentaysisequeponerme #conpocotaconyguapas #elle_spain #revistavogue #revistatelva #revistacosmoplolitan #holafashion",,56,"website-landing-page, active-230d, ng-cues:jos, category:fashion,shoe, small-mid-252",,108167787779147,1014264270573462,2026-08-29T10:02:23.595330+00:00
Footwonders 16,https://www.facebook.com/61577506127656/,129,https://footwonders.com/collections/jojo-s-bizarre-adventure-shoes,,47,"['FACEBOOK', 'INSTAGRAM', 'THREADS']",2025-08-05T07:00:00,2025-09-21T07:00:00,#1 Best Seller,https://scontent.fsig1-1.fna.fbcdn.net/v/t39.35426-6/526560000_1012926790747109_6806050026536879366_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=NcsyK1tJzSYQ7kNvwF9-Gls&_nc_oc=AdpGB-J9-EgrP5GfMxDfmnYpY_Hp2RadI3Oa8r1lNd3IL8Ka9CQRpMzi3785FbFhsos&_nc_zt=14&_nc_ht=scontent.fsig1-1.fna&_nc_gid=jqeUbB_5aD5uQeEg8Q3Ntw&_nc_ss=79289&oh=00_AQLrTmdOxuv0MuzZng-638_RPV3nykhpk8kr6akcgzAKkg&oe=6A9871BE,56,"website-landing-page, active-47d, ng-cues:jos, category:shoe, small-mid-129",,700601279804975,1454772358996263,2026-08-29T10:17:46.836246+00:00
Shoesmates - Elevate Your Style,https://www.facebook.com/61560969683614/,574,https://shoesmates.com/jojos-bizarre-adventure-shoes,,42,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2025-08-20T07:00:00,2025-10-01T07:00:00,Premium Shoes,https://scontent.fccs5-1.fna.fbcdn.net/v/t39.35426-6/531051896_1867087974153028_7305436653397356163_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=SzF0WF40JksQ7kNvwE9R0N2&_nc_oc=AdqnD03tWbUhK_S5uatv1j2mj7VZk3cXwKGyxMrNsWWq76ct0CJI3Q_hm0N4pVlB96Y&_nc_zt=14&_nc_ht=scontent.fccs5-1.fna&_nc_gid=GAYp_XJMH46PRTEuitOaKg&_nc_ss=7b289&oh=00_AQHii4Mw1BIiySmO_YCqTF6DjE-YHtB0aCxzpJIcY-QlbQ&oe=6A975371,56,"website-landing-page, active-42d, ng-cues:jos, category:shoe,sneaker,jean, small-mid-574",,363896920130987,1093162496291667,2026-08-28T14:09:42.802775+00:00
Smack Arena,https://www.facebook.com/smackarena68/,729,https://smackarena.com/product-category/car-sport-collection/nba,,28,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-02-01T08:00:00,2026-03-01T08:00:00,Only $104.95,https://scontent.fauh1-1.fna.fbcdn.net/v/t39.35426-6/624879822_1569068817662062_8428358877114712330_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=0uKNr_RnFAsQ7kNvwHsFF3V&_nc_oc=AdqsQcsbcwplK_r7AFIQG7q2t5BmQElQ5gUqHj_02t_KQkkFFNAPsSskpG7gmtI54lo&_nc_zt=14&_nc_ht=scontent.fauh1-1.fna&_nc_gid=pTDZHwQO-T0xsWGB14qEuQ&_nc_ss=7b289&oh=00_AQJW4vSWAu7EiP9j-YQW6vbtfNwrAEGIg9rUXEf62WtDtw&oe=6A989924,56,"website-landing-page, active-28d, ng-cues:warri, category:sneaker, small-mid-729",,679461261924963,1934438684091508,2026-08-29T10:02:31.878189+00:00
Vintage Corner,https://www.facebook.com/100088821309421/,285,https://luizsuit.com/products/tesla-custom-name-elegant-fashion-design-watch-vs72/,,38,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2025-08-23T07:00:00,2025-09-30T07:00:00,"📢 Special Design Custom Tesla Watch ⌚
✅ Available in many stylish colors 🎨🚗
🎁 A perfect gift for Tesla lovers ❤️🔥
🛒 Grab yours now: https://luizsuit.com/products/tesla-custom-name-elegant-fashion-design-watch-vs72/
✅ Custom with your name - make it truly yours
⏳ Limited stock – Don’t miss out!
#TeslaWatch #TeslaStyle #TeslaGifts #DriveInStyle #PersonalizedAccessories #TeslaVibes
#TeslaMotors #TeslaLife #TeslaLovers #CarAccessories #CustomWatch #WatchForDrivers #CarEnthusiast #TeslaFans #GiftForHim #GiftIdeas2025",https://scontent-dfw5-1.xx.fbcdn.net/v/t39.35426-6/537704255_1281439550190250_7507462714695489664_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=FZaUQ5b3swgQ7kNvwHV5ULQ&_nc_oc=Adoml_JdxU26f3tWetoB-Cq4XELj-jZLqhNSQVoYvH9mVqysIsqz9JEb8SYXmF3MJ94p0_Ji9rYZpkKIkOjlRJTW&_nc_zt=14&_nc_ht=scontent-dfw5-1.xx&_nc_gid=2PA8w1hZXKHOAiZ-IuooEQ&_nc_ss=7b289&oh=00_AQJOLT5957U4Fvkv8fs83tPeUW7IyYjKxdAETcwxr0-lwA&oe=6A98825C,56,"website-landing-page, active-38d, ng-cues:lag, category:fashion,watch,accessor, small-mid-285",,103595805944599,1190780573096287,2026-08-29T10:07:55.368031+00:00
BOZ Jewelry Wuse 2 Abuja,https://www.facebook.com/100064028324799/,629,https://www.bozjewelry.com/products/signature-marquise-cut-bride-set-in-925-sterling-silver,,31,"['FACEBOOK', 'INSTAGRAM']",2026-01-02T08:00:00,2026-02-02T08:00:00,,,56,"website-landing-page, active-31d, ng-cues:abuja,wuse, category:jewelry, small-mid-629",,106539931128396,894782269789435,2026-08-28T14:20:29.132127+00:00
Fierce-green.p,https://www.facebook.com/100083010084729/,4516,https://www.fierce-green.com/products/24h-lock-1440-minute-smudge-proof-eyeliner-precision-define-all-day-stay-transfer-resistant-makeup-duo-2,,55,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-07-04T07:00:00,2026-08-28T07:00:00,"Sharp lines that actually stay put. 🖤

No smudge, no mess—just a smooth, lightweight finish that lasts all day. Whether you're going for a sharp wing or a natural look, this is the only liner you’ll ever need.

Keep it simple, keep it sharp.👉 https://t.site/4v93UYO",,56,"website-landing-page, active-55d, ng-cues:uyo, category:hat, small-mid-4516",,111061188268349,1689438495653345,2026-08-28T14:34:42.178925+00:00
Villager Clothing,https://www.facebook.com/villageruk/,427,https://villagerclothing.com/products/chosen-t-shirt?utm_content=Facebook_UA&utm_source=facebook&variant=51288399839561,,32,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-04-14T07:00:00,2026-05-16T07:00:00,"Villager is a reminder that we’re more connected than we think,
through struggle, ambition, and shared beginnings.",https://scontent.fthd2-1.fna.fbcdn.net/v/t39.35426-6/669641578_1485474849960872_4218529994616663496_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=td0BALHnY2wQ7kNvwFjIDDr&_nc_oc=Ado79oGTz8NQVYWDYDCcEAMrVmdv-aNwICjggarF16Cbhc21yS0G2KX6OKoaFoTts80&_nc_zt=14&_nc_ht=scontent.fthd2-1.fna&_nc_gid=Nx-K0YAONcCEAaTHn9Fy9Q&_nc_ss=7b289&oh=00_AQJN4EDQ37ctfNTcB2ngxS3XFEvd8RLV4Ad0UKGPWof5xQ&oe=6A9877ED,56,"website-landing-page, active-32d, ng-cues:lag, category:clothing,hat, small-mid-427",,1894604330815377,1684221066077560,2026-08-29T07:52:36.057302+00:00
alexia_online,https://www.facebook.com/100069682154461/,3866,https://api.whatsapp.com/send,+2348111313130,338,['INSTAGRAM'],2025-08-12T07:00:00,2026-07-16T07:00:00,"We have products for all skin types, skin enhancements & skin treatments 

For enquires & recommendations via WhatsApp +2348111313130

We deliver worldwide 🌎
You can also pick up from any of these branches below 👇

Shop address 

Lagos: 69 admiralty lekki phase 1, (BRASSAS'R PLACE MALL) ground floor beside burea de change 
08188888816

ABUJA 
SHOP FC 22 & 55 old banex plaza, AMINU KANO CRESCENT WUSE 
08171232909

#alexiabeautytherapyproducts",,56,"click-to-whatsapp, whatsapp-cta, wa:+2348111313130, active-338d, ng-cues:lagos,abuja,kano, category:beauty,dress,lace, small-mid-3866",non-ecom,2344566319101533,1270538504446779,2026-08-29T07:13:04.950604+00:00
T-shirt Kingdom 41A,https://www.facebook.com/100090360978755/,11,https://luxuryomg.com/collection/lagos,,89,['FACEBOOK'],2025-10-06T07:00:00,2026-01-03T08:00:00,"(y) Give LAGOS the gift of luxury with our exclusive 💖
(y) Order Here >>> https://luxuryomg.com/lagos-cp05-ls03
(y) Collecttions >>> https://luxuryomg.com/collection/lagos
(y)  Custom Name >>> https://luxuryomg.com/collection/custom-name
♥ Exclusive designs available only in our store.",https://scontent-lga3-1.xx.fbcdn.net/v/t39.35426-6/557525479_1175460794423651_3017457784444407884_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4PXENEdcSIwQ7kNvwHfSDLR&_nc_oc=AdpYkJrxpzVq5rXz7wN2FSMseec21yv93V-60yChHKMMtlk8bnPIoqCSOpLhaqj9mqA&_nc_zt=14&_nc_ht=scontent-lga3-1.xx&_nc_gid=n5yAiF4QJuk4RIBqBeayzQ&_nc_ss=7b289&oh=00_AQKzrrKszgLBy92Mg7XdKm8ami4byqiS5hovnNHBtb85yw&oe=6A983F74,56,"website-landing-page, active-89d, ng-cues:lagos,lag, category:t-shirt, small-mid-11",,105488652478564,753181954034514,2026-08-29T07:19:23.230778+00:00
Senseofdecency,https://www.facebook.com/Sodenigeria1/,255,https://wa.link/24lw6m,,6,"['FACEBOOK', 'INSTAGRAM']",2026-01-01T08:00:00,2026-01-07T08:00:00,"The very few wedding gowns we made in 2025. 

#sode #nigerianwedding #abujafashiondesigner #custommadeweddinggown",,56,"click-to-whatsapp, ng-cues:nigeria,abuja, category:fashion,gown, small-mid-255",,361968923660828,4205181676421520,2026-08-29T07:47:42.554337+00:00
National Parents Union,https://www.facebook.com/nationalparentsunion/,12588,https://nationalparentsunion.org/online-learning-resources-for-parents/,,19,"['FACEBOOK', 'INSTAGRAM']",2020-04-08T07:00:00,2020-04-27T07:00:00,"Únase a nosotros todos los días de la semana a las 12 p.m. EST para una transmisión en vivo con consejos, recursos y diversión para padres. Nuestros invitados incluyen padres líderes de todo el país.",https://scontent.fvix22-1.fna.fbcdn.net/v/t39.35426-6/128464366_302399267658298_1436899415561671439_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=pANsyly9rX8Q7kNvwE03Zal&_nc_oc=AdojEJfm52d1ojGs1rcdFCyhEWdCYJP0FZxBAwZhl8h1PUrw8u-P0xAohjErLGclS9Y&_nc_zt=14&_nc_ht=scontent.fvix22-1.fna&_nc_gid=rUz60ujkk-hZFKbOD9kDsA&_nc_ss=79289&oh=00_AQKWJ2l35z-4w63SHdelOdGeEK4t29LiAIqO96W0V7sIoQ&oe=6A986A74,56,"website-landing-page, active-19d, ng-cues:jos, category:watch, small-mid-12588",,100401327980848,793816851419021,2026-08-29T08:43:22.168194+00:00
Abuja Shortlet Apartments ,https://www.facebook.com/61565790976347/,1451,https://api.whatsapp.com/send?phone=2347062523758&token=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjEyNSJ9.eyJleHAiOjE3ODA5MDk5OTEsInBob25lIjoiMjM0NzA2MjUyMzc1OCJ9.jgLfvP7-oxGq-fIIPdaHjm6gizZ2_LdJRDRZ1dHhIRHkVWigYp3jJ9ZVXpZP3LsD8eJzzaHv_OtXdWWaqkylfA,2347062523758,53,"['INSTAGRAM', 'WHATSAPP', 'THREADS']",2026-06-07T07:00:00,2026-07-30T07:00:00, ,https://scontent.fbze1-2.fna.fbcdn.net/v/t39.35426-6/719068982_1973540993267072_3383227353584642651_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=WOwte4utVHwQ7kNvwGWY-1T&_nc_oc=AdquAXgX-2aODMesmCG3aGZW5JzQeqcDN778tmD9I1D9BlHgBIy1jjeGrVlJQnZwCBQJ3j7LE1ays0RbyUKsOdAz&_nc_zt=14&_nc_ht=scontent.fbze1-2.fna&_nc_gid=mbwPP7GQ9okvB96SAZnhnQ&_nc_ss=79289&oh=00_AQKn4RH7Zaf6bAW5ZHoAipjIUFTBreL_fhNrqVRW7j7MzQ&oe=6A987A6E,56,"click-to-whatsapp, whatsapp-cta, wa:2347062523758, active-53d, ng-cues:abuja,wuse,garki, category:hat, small-mid-1451",non-ecom,461856980335726,27133299086290862,2026-08-29T09:56:56.623803+00:00
Cityweft ,https://www.facebook.com/61590638121120/,0,https://www.cityweft.com/,,18,['INSTAGRAM'],2026-07-19T07:00:00,2026-08-06T07:00:00,"This one's for you, Architects, urban designers, and Revit users!
Our latest Cityweft update means you can now export native Revit files, ready to open, edit, and integrate directly into your BIM workflow.

This works for any site in the world from NYC to Barcelona, and everywhere in between.
Select your area, click export, and start designing alongside real-world site context, including surrounding buildings and urban fabric.

Perfect for architects, urban planners, landscape architects, architecture students, and urban designers alike.

Sign up now for 30% off pro subscriptions.",,54,"website-landing-page, active-18d, ng-cues:ng , category:cap, unknown-size",,1197936950069151,1565185598473232,2026-08-28T08:33:20.279090+00:00
kulcha_kernel,https://www.instagram.com/_u/kulcha_kernel,0,https://kulchakernel.com/collections/roots-and-culture,,85,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",2026-06-04T07:00:00,2026-08-28T07:00:00,"Wear The Culture - Tell Your Story.

More than a T-shirt - More than an outfit - A statement!

Available in-store and online while supplies last.

Shop Now:
[www.kulchakernel.com]

Visit Us:
1884 Catasauqua Rd, Allentown, PA
☎️(484)-221-8187

Our Cultural Apparel Collection is designed for those who wear their heritage with pride, walk in confidence, and aren’t afraid to stand for something meaningful.

Featuring powerful imagery, iconic figures, thought-provoking messages, and culturally inspired designs, these pieces spark conversations while celebrating identity, history, beauty, resilience, and self-expression.

Whether you’re heading to a community event, Juneteenth celebration, family gathering, festival, or simply making a statement in your everyday life, these shirts help you repre",https://scontent.fyyz1-2.fna.fbcdn.net/v/t39.35426-6/710586499_1505186888308615_1847567127577980055_n.jpg?_nc_cat=106&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=EKl3r17tE1wQ7kNvwE07_BC&_nc_oc=AdqytTTVFRA-b2N8M3nOpSZil7WCbYVMOuQBr3E1HSZjJ23gdIQW-Ekee74gkNmlRL4c02TvsqF7w1rVHvKtlALw&_nc_zt=14&_nc_ht=scontent.fyyz1-2.fna&_nc_gid=U6tiIT_ER3bPb9mxYzMcvg&_nc_ss=7b289&oh=00_AQFfl2DGtLVe-FiWIbEAj6EoiZcpZ9mxYqZFWvPVoi1XtQ&oe=6A9705BE,54,"website-landing-page, active-85d, ng-cues:ng , category:fashion,beauty,t-shirt, unknown-size",,102006769249810,2438351656670930,2026-08-28T08:33:32.390771+00:00
T-Shirt Kingdom 094,https://www.facebook.com/61580056265401/,0,https://winedecantershop.com/lagos-if01-k3579,,23,['FACEBOOK'],2025-09-11T07:00:00,2025-10-04T07:00:00,"(y) Give LAGOS the gift of luxury with our exclusive 💖
(y) Order Here >>> https://winedecantershop.com/lagos-if01-k3579
(y) Collecttions >>> https://winedecantershop.com/collection/lagos?sort=newest
(y)  Custom Name >>> https://winedecantershop.com/collection/yourname?sort=highest_price
♥ Exclusive designs available only in our store.",https://scontent-lga3-2.xx.fbcdn.net/v/t39.35426-6/544922616_3661575684152189_7088724349781601358_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LQIsHrlDIMMQ7kNvwEFUB7e&_nc_oc=AdqirJOxUIug4ILv9c_tH-UtmLIJxuvWcb5BKDba-19Tj_ioYOhLqSwDE3-KXtRrL-0&_nc_zt=14&_nc_ht=scontent-lga3-2.xx&_nc_gid=n5yAiF4QJuk4RIBqBeayzQ&_nc_ss=7b289&oh=00_AQI0BSzlSk2Qo4vVw4pYGX2nIhDvKNGgTcJP5MNGIJwx4Q&oe=6A985541,54,"website-landing-page, active-23d, ng-cues:lagos,lag, category:t-shirt, unknown-size",,694810963725334,2226858597830437,2026-08-29T07:19:23.257935+00:00
BOZ Jewelry-Wedding and Engagement Rings Nigeria,https://www.facebook.com/bozjewelry/,146526,https://www.bozjewelry.com/search?q=diamond+earrings&options%5Bprefix%5D=last,+2349029374832,16,"['FACEBOOK', 'INSTAGRAM']",2026-02-04T08:00:00,2026-02-20T08:00:00,"From first diamonds to forever favorites.
Timeless natural diamond studs in 18K gold.
Choose your sparkle.

LAGOS

Osapa 
Martis Brass mall, 27 Castlerock Ave, Jakande:
08094281196

Ikeja 
1st floor 
Ile Oja Mall
Opebi link road, Ikeja, Lagos
08187136097

Flagship 
Lekki Phase 1 
12 Wole Ariyo Lekki 1
+234 902 937 4832

ABUJA
Shop CGF - 08 Plot No 528, K City plaza, Malabo street, Aminu kano crescent, wuse 2 Abuja:
08177121780

PORTHARCOURT
Garden city mall, 4 old aba Road, mini - woji Road
Port harcourt 
08124254143

Mon to Sat
Open 9am 
Closes 6pm",,53,"website-landing-page, wa:+2349029374832, active-16d, ng-cues:nigeria,lagos,abuja, category:jewelry",,1762478530445458,2438959603202901,2026-08-28T08:31:38.201534+00:00
Glam Affairs NG,https://www.facebook.com/glamaffairslux/,1004,https://selar.com/c00477xb27,,11,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2026-02-17T08:00:00,2026-02-28T08:00:00,"Butterfly cuts are trending but structure is not.

Most stylists remove weight ONLY FEW understand how to control it.

It's not only about cutting shorter layers

However:
It’s about preserving perimeter density ✅
Controlling elevation ✅
Creating lift without thinning✅
Designing face framing that moves and connects ✅

That’s why I’m releasing my Signature Butterfly Cutting & Styling Masterclass online with proven beginner & intermediate techniques that has worked for me and many of my students

Early access is limited to just 50 students

Early Access :

• Pay in full – ₦220,000
• 2-part payment – ₦125,000 x 2

PRICE GOES UP ONCE COURSE LAUNCHES MARCH 17th

If you’re ready to refine your technique and stop undercharging your skill, then Pre-order now",,53,"website-landing-page, ng-cues:₦,ng , category:hat, small-mid-1004, naira-pricing",,1936475479930574,915814784480563,2026-08-28T08:31:41.312840+00:00
jay__organics,https://www.facebook.com/jayorganicsrawmaterials/,248,https://api.whatsapp.com/send,,29,['INSTAGRAM'],2026-02-07T08:00:00,2026-03-09T07:00:00,"‼️Ready to formulate professional skincare products from SCRATCH. No premixing, no shortcuts, just real cosmetic science? This is your chance to learn everything from cleansers to serums, creams, butters, scrubs, toners, oils, and advanced treatments for acne, hyperpigmentation, aging, and glow ✨

Our Diploma in Skincare Formulation Training takes you step-by-step through:
✔️ Proper cosmetic foundations
✔️ Batch size calculation & pH analysis
✔️ Hands-on formulation of face washes, toners, serums, masks, creams, scrubs, lotions, butters & oils
✔️ Acne, dark spots, brightening, anti-aging & hydration solutions
✔️ Industry-ready techniques you can immediately turn into a business

💫Bonus include:👇
1. Haircare and body Enhancement ebook
2. 1 year of coaching
3. 1 year of upgraded recipes
4. C",,53,"click-to-whatsapp, whatsapp-cta, active-29d, ng-cues:nigeria,₦,ng , category:beauty,skincare,cosmetic, small-mid-248, naira-pricing",large-brand,105179738229003,926915983617409,2026-08-28T08:31:43.406813+00:00
